FIPS,State,State Code,County,Metro Area,Year,Median Rent,Efficiency,1BR,2BR,3BR,4BR,Entity ID,Note
17097,Illinois,IL,Lake County,Illinois Non-Metro,2023,840,649,704,840,1084,1258,1799999999,Estimated from state non-metro area rates
17099,Illinois,IL,LaSalle County,Illinois Non-Metro,2023,840,649,704,840,1084,1258,1799999999,Estimated from state non-metro area rates
17111,Illinois,IL,McHenry County,Illinois Non-Metro,2023,840,649,704,840,1084,1258,1799999999,Estimated from state non-metro area rates
17173,Illinois,IL,Shelby County,Illinois Non-Metro,2023,840,649,704,840,1084,1258,1799999999,Estimated from state non-metro area rates
17197,Illinois,IL,Will County,Illinois Non-Metro,2023,840,649,704,840,1084,1258,1799999999,Estimated from state non-metro area rates
18089,Indiana,IN,Lake County,Indiana Non-Metro,2023,775,599,650,775,1000,1161,1899999999,Estimated from state non-metro area rates
18111,Indiana,IN,Newton County,Indiana Non-Metro,2023,775,599,650,775,1000,1161,1899999999,Estimated from state non-metro area rates
18127,Indiana,IN,Porter County,Indiana Non-Metro,2023,775,599,650,775,1000,1161,1899999999,Estimated from state non-metro area rates
18155,Indiana,IN,Switzerland County,Indiana Non-Metro,2023,775,599,650,775,1000,1161,1899999999,Estimated from state non-metro area rates
19159,Iowa,IA,Ringgold County,Iowa Non-Metro,2023,775,599,650,775,1000,1161,1999999999,Estimated from state non-metro area rates
20099,Kansas,KS,Labette County,Kansas Non-Metro,2023,775,599,650,775,1000,1161,2099999999,Estimated from state non-metro area rates
20101,Kansas,KS,Lane County,Kansas Non-Metro,2023,775,599,650,775,1000,1161,2099999999,Estimated from state non-metro area rates
21029,Kentucky,KY,Bullitt County,Kentucky Non-Metro,2023,775,599,650,775,1000,1161,2199999999,Estimated from state non-metro area rates
21031,Kentucky,KY,Butler County,Kentucky Non-Metro,2023,775,599,650,775,1000,1161,2199999999,Estimated from state non-metro area rates
21149,Kentucky,KY,McLean County,Kentucky Non-Metro,2023,775,599,650,775,1000,1161,2199999999,Estimated from state non-metro area rates
21163,Kentucky,KY,Meade County,Kentucky Non-Metro,2023,775,599,650,775,1000,1161,2199999999,Estimated from state non-metro area rates
22049,Louisiana,LA,Jackson Parish,Louisiana Non-Metro,2023,775,599,650,775,1000,1161,2299999999,Estimated from state non-metro area rates
22053,Louisiana,LA,Jefferson Davis Parish,Louisiana Non-Metro,2023,775,599,650,775,1000,1161,2299999999,Estimated from state non-metro area rates
22059,Louisiana,LA,LaSalle Parish,Louisiana Non-Metro,2023,775,599,650,775,1000,1161,2299999999,Estimated from state non-metro area rates
24009,Maryland,MD,Calvert County,Maryland Non-Metro,2023,1228,949,1029,1228,1584,1838,2499999999,Estimated from state non-metro area rates
24015,Maryland,MD,Cecil County,Maryland Non-Metro,2023,1228,949,1029,1228,1584,1838,2499999999,Estimated from state non-metro area rates
24017,Maryland,MD,Charles County,Maryland Non-Metro,2023,1228,949,1029,1228,1584,1838,2499999999,Estimated from state non-metro area rates
24021,Maryland,MD,Frederick County,Maryland Non-Metro,2023,1228,949,1029,1228,1584,1838,2499999999,Estimated from state non-metro area rates
24025,Maryland,MD,Harford County,Maryland Non-Metro,2023,1228,949,1029,1228,1584,1838,2499999999,Estimated from state non-metro area rates
24027,Maryland,MD,Howard County,Maryland Non-Metro,2023,1228,949,1029,1228,1584,1838,2499999999,Estimated from state non-metro area rates
24031,Maryland,MD,Montgomery County,Maryland Non-Metro,2023,1228,949,1029,1228,1584,1838,2499999999,Estimated from state non-metro area rates
24033,Maryland,MD,Prince George's County,Maryland Non-Metro,2023,1228,949,1029,1228,1584,1838,2499999999,Estimated from state non-metro area rates
26067,Michigan,MI,Ionia County,Michigan Non-Metro,2023,840,649,704,840,1084,1258,2699999999,Estimated from state non-metro area rates
26069,Michigan,MI,Iosco County,Michigan Non-Metro,2023,840,649,704,840,1084,1258,2699999999,Estimated from state non-metro area rates
27029,Minnesota,MN,Clearwater County,Minnesota Non-Metro,2023,905,699,758,905,1168,1355,2799999999,Estimated from state non-metro area rates
27031,Minnesota,MN,Cook County,Minnesota Non-Metro,2023,905,699,758,905,1168,1355,2799999999,Estimated from state non-metro area rates
27165,Minnesota,MN,Watonwan County,Minnesota Non-Metro,2023,905,699,758,905,1168,1355,2799999999,Estimated from state non-metro area rates
27167,Minnesota,MN,Wilkin County,Minnesota Non-Metro,2023,905,699,758,905,1168,1355,2799999999,Estimated from state non-metro area rates
28029,Mississippi,MS,Copiah County,Mississippi Non-Metro,2023,709,549,595,709,915,1062,2899999999,Estimated from state non-metro area rates
28049,Mississippi,MS,Hinds County,Mississippi Non-Metro,2023,709,549,595,709,915,1062,2899999999,Estimated from state non-metro area rates
