FIPS,County,State,Median Home Value,% of National Median,Price Category
51177,"Spotsylvania County","Virginia",375000,217.6,Very Expensive
37179,"Union County","North Carolina",374400,217.3,Very Expensive
56029,"Park County","Wyoming",374200,217.2,Very Expensive
17043,"DuPage County","Illinois",374100,217.1,Very Expensive
13067,"Cobb County","Georgia",373700,216.9,Very Expensive
55133,"Waukesha County","Wisconsin",373600,216.8,Very Expensive
12115,"Sarasota County","Florida",373100,216.5,Very Expensive
51085,"Hanover County","Virginia",372700,216.3,Very Expensive
41063,"Wallowa County","Oregon",371900,215.8,Very Expensive
51127,"New Kent County","Virginia",371500,215.6,Very Expensive
48209,"Hays County","Texas",371400,215.6,Very Expensive
37119,"Mecklenburg County","North Carolina",371200,215.4,Very Expensive
53063,"Spokane County","Washington",370500,215.0,Very Expensive
49023,"Juab County","Utah",369800,214.6,Very Expensive
53005,"Benton County","Washington",369400,214.4,Very Expensive
30047,"Lake County","Montana",369200,214.3,Very Expensive
55089,"Ozaukee County","Wisconsin",368900,214.1,Very Expensive
06047,"Merced County","California",368400,213.8,Very Expensive
36027,"Dutchess County","New York",368100,213.6,Very Expensive
06039,"Madera County","California",367700,213.4,Very Expensive
53015,"Cowlitz County","Washington",367400,213.2,Very Expensive
16045,"Gem County","Idaho",367300,213.2,Very Expensive
24025,"Harford County","Maryland",367300,213.2,Very Expensive
41015,"Curry County","Oregon",366700,212.8,Very Expensive
34029,"Ocean County","New Jersey",366600,212.8,Very Expensive
51810,"Virginia Beach city","Virginia",366300,212.6,Very Expensive
55025,"Dane County","Wisconsin",366100,212.5,Very Expensive
20091,"Johnson County","Kansas",366000,212.4,Very Expensive
16065,"Madison County","Idaho",365000,211.8,Very Expensive
30007,"Broadwater County","Montana",364800,211.7,Very Expensive
49055,"Wayne County","Utah",364800,211.7,Very Expensive
47165,"Sumner County","Tennessee",364000,211.3,Very Expensive
50013,"Grand Isle County","Vermont",363500,211.0,Very Expensive
25015,"Hampshire County","Massachusetts",363400,210.9,Very Expensive
06019,"Fresno County","California",362600,210.4,Very Expensive
27037,"Dakota County","Minnesota",362100,210.2,Very Expensive
36071,"Orange County","New York",361100,209.6,Very Expensive
37021,"Buncombe County","North Carolina",360000,208.9,Very Expensive
12081,"Manatee County","Florida",359800,208.8,Very Expensive
51550,"Chesapeake city","Virginia",359100,208.4,Very Expensive
09130,"Lower Connecticut River Valley Planning Region","Connecticut",359000,208.4,Very Expensive
08027,"Custer County","Colorado",358800,208.2,Very Expensive
12095,"Orange County","Florida",358300,208.0,Very Expensive
30049,"Lewis and Clark County","Montana",358200,207.9,Very Expensive
06043,"Mariposa County","California",358000,207.8,Very Expensive
08085,"Montrose County","Colorado",357900,207.7,Very Expensive
49003,"Box Elder County","Utah",357400,207.4,Very Expensive
12117,"Seminole County","Florida",357300,207.4,Very Expensive
38053,"McKenzie County","North Dakota",357300,207.4,Very Expensive
23031,"York County","Maine",357200,207.3,Very Expensive
12119,"Sumter County","Florida",356000,206.6,Very Expensive
30095,"Stillwater County","Montana",355600,206.4,Very Expensive
51069,"Frederick County","Virginia",355000,206.0,Very Expensive
35055,"Taos County","New Mexico",354000,205.5,Very Expensive
37129,"New Hanover County","North Carolina",353700,205.3,Very Expensive
10005,"Sussex County","Delaware",353300,205.0,Very Expensive
26161,"Washtenaw County","Michigan",353000,204.9,Very Expensive
56033,"Sheridan County","Wyoming",352200,204.4,Very Expensive
13085,"Dawson County","Georgia",351900,204.2,Very Expensive
37063,"Durham County","North Carolina",351700,204.1,Very Expensive
37053,"Currituck County","North Carolina",351200,203.8,Very Expensive
12089,"Nassau County","Florida",351100,203.8,Very Expensive
34021,"Mercer County","New Jersey",351000,203.7,Very Expensive
49025,"Kane County","Utah",350900,203.7,Very Expensive
16027,"Canyon County","Idaho",350300,203.3,Very Expensive
48157,"Fort Bend County","Texas",350300,203.3,Very Expensive
56035,"Sublette County","Wyoming",350100,203.2,Very Expensive
55109,"St. Croix County","Wisconsin",349700,203.0,Very Expensive
08077,"Mesa County","Colorado",349400,202.8,Very Expensive
33003,"Carroll County","New Hampshire",348900,202.5,Very Expensive
51115,"Mathews County","Virginia",348800,202.4,Very Expensive
24047,"Worcester County","Maryland",348100,202.0,Very Expensive
06089,"Shasta County","California",347200,201.5,Very Expensive
47149,"Rutherford County","Tennessee",346400,201.0,Very Expensive
13135,"Gwinnett County","Georgia",345700,200.6,Very Expensive
53021,"Franklin County","Washington",345700,200.6,Very Expensive
41043,"Linn County","Oregon",344600,200.0,Very Expensive
53069,"Wahkiakum County","Washington",344500,199.9,Expensive
16021,"Boundary County","Idaho",344100,199.7,Expensive
48367,"Parker County","Texas",343600,199.4,Expensive
49021,"Iron County","Utah",342900,199.0,Expensive
34037,"Sussex County","New Jersey",342800,199.0,Expensive
32019,"Lyon County","Nevada",342600,198.8,Expensive
16057,"Latah County","Idaho",342500,198.8,Expensive
13133,"Greene County","Georgia",342200,198.6,Expensive
18011,"Boone County","Indiana",341800,198.4,Expensive
53041,"Lewis County","Washington",341500,198.2,Expensive
33001,"Belknap County","New Hampshire",340000,197.3,Expensive
30039,"Granite County","Montana",339500,197.0,Expensive
41031,"Jefferson County","Oregon",339200,196.9,Expensive
44007,"Providence County","Rhode Island",339100,196.8,Expensive
06021,"Glenn County","California",338400,196.4,Expensive
06027,"Inyo County","California",338400,196.4,Expensive
51137,"Orange County","Virginia",337300,195.8,Expensive
51041,"Chesterfield County","Virginia",336700,195.4,Expensive
37175,"Transylvania County","North Carolina",336100,195.1,Expensive
16051,"Jefferson County","Idaho",335000,194.4,Expensive
