FIPS,State,State Code,County,Metro Area,Year,Median Rent,Efficiency,1BR,2BR,3BR,4BR,Entity ID
"25000","Massachusetts","MA","Norfolk County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502139975"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501740115"
"25000","Massachusetts","MA","Norfolk County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502141515"
"25000","Massachusetts","MA","Norfolk County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502141690"
"25000","Massachusetts","MA","Essex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2500943580"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501743895"
"25000","Massachusetts","MA","Norfolk County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502144105"
"25000","Massachusetts","MA","Essex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2500945175"
"25000","Massachusetts","MA","Essex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2500945245"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501745560"
"25000","Massachusetts","MA","Norfolk County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502146050"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501748955"
"25000","Massachusetts","MA","Plymouth County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502350145"
"25000","Massachusetts","MA","Norfolk County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502150250"
"25000","Massachusetts","MA","Essex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2500952490"
"25000","Massachusetts","MA","Plymouth County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502352630"
"25000","Massachusetts","MA","Norfolk County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502154100"
"25000","Massachusetts","MA","Plymouth County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502354310"
"25000","Massachusetts","MA","Norfolk County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502155745"
"25000","Massachusetts","MA","Norfolk County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502156000"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501756130"
"25000","Massachusetts","MA","Suffolk County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502556585"
"25000","Massachusetts","MA","Plymouth County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502357775"
"25000","Massachusetts","MA","Essex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2500957880"
"25000","Massachusetts","MA","Essex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2500958405"
"25000","Massachusetts","MA","Essex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2500959105"
"25000","Massachusetts","MA","Essex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2500959245"
"25000","Massachusetts","MA","Essex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2500960015"
"25000","Massachusetts","MA","Plymouth County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502360330"
"25000","Massachusetts","MA","Norfolk County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502160785"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501761380"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501761590"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501762535"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501767665"
"25000","Massachusetts","MA","Norfolk County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502167945"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501768050"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501768260"
"25000","Massachusetts","MA","Essex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2500968645"
"25000","Massachusetts","MA","Essex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2500970150"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501770360"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501772215"
"25000","Massachusetts","MA","Norfolk County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502172495"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501772600"
"25000","Massachusetts","MA","Plymouth County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502372985"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501773440"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501773790"
"25000","Massachusetts","MA","Norfolk County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502174175"
"25000","Massachusetts","MA","Essex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2500974595"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501777255"
"25000","Massachusetts","MA","Norfolk County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502178690"
